1024
C7700
C7700
0.5 ns,ns,2,5.44528e-04,-1.85189e-07,8.31059e-11
1 ns,ns,2,1.17096e-03,-4.73566e-07,2.96710e-10
2 ns,ns,2,1.74166e-03,-4.02184e-07,2.09947e-10
5 ns,ns,2,5.74485e-03,-1.97301e-06,1.39066e-09
10 ns,ns,2,9.84870e-03,-3.53869e-06,2.66292e-09
20 ns,ns,2,1.91357e-02,-4.75469e-06,6.47073e-09
50 ns,ns,2,4.97666e-02,-1.37149e-05,7.42748e-09
100 ns,ns,2,1.01233e-01,-2.69505e-05,1.01755e-08
200 ns,ns,2,1.87951e-01,-3.00835e-05,1.51207e-08
500 ns,ns,2,4.57900e-01,-2.16852e-05,2.43540e-08
1 us,us,2,9.79855e-04,-1.11915e-07,-5.65056e-13
2 us,us,2,1.67826e-03,3.30109e-07,1.15868e-11
5 us,us,2,4.57183e-03,-3.31060e-07,4.48000e-10
10 us,us,2,8.93549e-03,4.12837e-07,2.92915e-11
20 us,us,2,1.84090e-02,-2.30087e-06,2.08003e-09
50 us,us,2,4.51078e-02,-1.89246e-06,3.86871e-09
100 us,us,2,9.79381e-02,-3.72874e-05,3.56762e-08
200 us,us,2,1.91855e-01,-2.89642e-05,1.58620e-08
500 us,us,2,4.61352e-01,-1.17406e-05,1.18315e-08
1 ms,ms,2,9.17329e-04,9.42262e-09,-9.80486e-12
